investor_id,avg_gap_days,total_transactions,risk_flag
INV000104,45.0,12,At Risk
INV000105,44.333333333333336,10,At Risk
INV000106,63.0,4,At Risk
INV000107,50.0,5,At Risk
INV000108,45.625,9,At Risk
INV000109,41.111111111111114,10,At Risk
INV000110,122.0,3,At Risk
INV000111,205.0,2,At Risk
INV000112,80.33333333333333,4,At Risk
INV000113,55.625,9,At Risk
INV000114,47.333333333333336,4,At Risk
INV000115,94.0,6,At Risk
INV000116,78.75,5,At Risk
INV000117,54.857142857142854,8,At Risk
INV000118,50.6,6,At Risk
INV000119,142.0,2,At Risk
INV000120,116.0,4,At Risk
INV000121,133.66666666666666,4,At Risk
INV000122,,1,Regular
INV000123,44.75,9,At Risk
INV000124,86.8,6,At Risk
INV000125,57.166666666666664,7,At Risk
INV000126,192.5,3,At Risk
INV000127,131.5,3,At Risk
INV000128,45.55555555555556,10,At Risk
INV000129,49.1,11,At Risk
INV000130,38.22222222222222,10,At Risk
INV000131,37.72727272727273,12,At Risk
INV000132,46.125,9,At Risk
INV000133,73.5,7,At Risk
INV000134,87.0,3,At Risk
INV000135,103.33333333333333,4,At Risk
INV000136,,1,Regular
INV000137,41.75,9,At Risk
INV000138,45.36363636363637,12,At Risk
INV000139,,1,Regular
INV000140,119.33333333333333,4,At Risk
INV000141,,1,Regular
INV000142,,1,Regular
INV000143,51.333333333333336,7,At Risk
INV000144,73.0,6,At Risk
INV000145,55.875,9,At Risk
INV000146,47.714285714285715,8,At Risk
INV000147,58.0,7,At Risk
INV000148,46.22222222222222,10,At Risk
INV000149,,1,Regular
INV000150,58.0,9,At Risk
INV000151,66.8,6,At Risk
INV000152,87.0,2,At Risk
INV000153,31.444444444444443,10,Regular
INV000154,59.125,9,At Risk
INV000155,55.285714285714285,8,At Risk
INV000156,79.83333333333333,7,At Risk
INV000157,,1,Regular
INV000158,63.714285714285715,8,At Risk
INV000159,201.0,3,At Risk
INV000160,71.0,5,At Risk
INV000161,54.75,9,At Risk
INV000162,435.0,2,At Risk
INV000163,47.44444444444444,10,At Risk
INV000164,61.8,6,At Risk
INV000165,58.875,9,At Risk
INV000166,83.0,7,At Risk
INV000167,63.0,9,At Risk
INV000168,192.0,3,At Risk
INV000169,41.18181818181818,12,At Risk
INV000170,25.5,3,Regular
INV000171,86.66666666666667,4,At Risk
INV000172,100.0,5,At Risk
INV000173,34.6,11,Regular
INV000174,68.28571428571429,8,At Risk
INV000175,45.63636363636363,12,At Risk
INV000176,119.25,5,At Risk
INV000177,45.8,11,At Risk
INV000178,230.0,2,At Risk
INV000179,35.8,6,At Risk
INV000180,47.857142857142854,8,At Risk
INV000181,52.333333333333336,10,At Risk
INV000182,55.22222222222222,10,At Risk
INV000183,41.54545454545455,12,At Risk
INV000184,,1,Regular
INV000185,196.0,2,At Risk
INV000186,121.0,2,At Risk
INV000187,,1,Regular
INV000188,219.0,2,At Risk
INV000189,91.6,6,At Risk
INV000190,65.71428571428571,8,At Risk
INV000191,42.4,11,At Risk
INV000192,57.0,8,At Risk
INV000193,58.25,9,At Risk
INV000194,33.72727272727273,12,Regular
INV000195,45.77777777777778,10,At Risk
INV000196,56.75,9,At Risk
INV000197,134.66666666666666,4,At Risk
INV000198,,1,Regular
INV000199,64.33333333333333,7,At Risk
INV000200,69.83333333333333,7,At Risk
INV000201,48.666666666666664,10,At Risk
INV000202,174.0,3,At Risk
INV000203,39.875,9,At Risk
INV000204,69.0,7,At Risk
INV000205,48.666666666666664,10,At Risk
INV000206,130.0,3,At Risk
INV000207,95.0,5,At Risk
INV000208,,1,Regular
INV000209,29.0,2,Regular
INV000210,61.875,9,At Risk
INV000211,61.0,9,At Risk
INV000212,88.0,2,At Risk
INV000213,54.0,6,At Risk
INV000214,52.666666666666664,10,At Risk
INV000215,56.375,9,At Risk
INV000216,53.0,6,At Risk
INV000217,46.0,11,At Risk
INV000218,,1,Regular
INV000219,63.0,5,At Risk
INV000220,80.6,6,At Risk
INV000221,38.42857142857143,8,At Risk
INV000222,45.6,6,At Risk
INV000223,49.8,11,At Risk
INV000224,57.5,7,At Risk
INV000225,53.714285714285715,8,At Risk
INV000226,69.57142857142857,8,At Risk
INV000227,56.75,5,At Risk
INV000228,43.45454545454545,12,At Risk
INV000229,46.333333333333336,7,At Risk
INV000230,50.666666666666664,10,At Risk
INV000231,34.1,11,Regular
INV000232,205.0,2,At Risk
INV000233,205.0,2,At Risk
INV000234,81.16666666666667,7,At Risk
INV000235,42.111111111111114,10,At Risk
INV000236,67.14285714285714,8,At Risk
INV000237,81.5,3,At Risk
INV000238,52.0,10,At Risk
INV000239,34.2,11,Regular
INV000240,74.0,2,At Risk
INV000241,40.888888888888886,10,At Risk
INV000242,49.55555555555556,10,At Risk
INV000243,63.0,8,At Risk
INV000244,34.0,9,Regular
INV000245,46.1,11,At Risk
INV000246,92.33333333333333,4,At Risk
INV000247,,1,Regular
INV000248,85.33333333333333,4,At Risk
INV000249,39.0,8,At Risk
INV000250,,1,Regular
INV000251,65.0,6,At Risk
INV000252,36.77777777777778,10,At Risk
INV000253,458.0,2,At Risk
INV000254,249.0,2,At Risk
INV000255,56.0,8,At Risk
INV000256,38.45454545454545,12,At Risk
INV000257,53.285714285714285,8,At Risk
INV000258,,1,Regular
INV000259,44.125,9,At Risk
INV000260,37.90909090909091,12,At Risk
INV000261,50.44444444444444,10,At Risk
INV000262,34.09090909090909,12,Regular
INV000263,59.875,9,At Risk
INV000264,81.5,3,At Risk
INV000265,43.72727272727273,12,At Risk
INV000266,62.166666666666664,7,At Risk
INV000267,34.45454545454545,12,Regular
INV000268,43.2,11,At Risk
INV000269,112.0,4,At Risk
INV000270,48.8,6,At Risk
INV000271,93.6,6,At Risk
INV000272,96.33333333333333,4,At Risk
INV000273,,1,Regular
INV000274,89.2,6,At Risk
INV000275,134.33333333333334,4,At Risk
INV000276,68.4,6,At Risk
INV000277,,1,Regular
INV000278,67.0,8,At Risk
INV000279,31.545454545454547,12,Regular
INV000280,40.54545454545455,12,At Risk
INV000281,136.33333333333334,4,At Risk
INV000282,114.0,4,At Risk
INV000283,46.5,11,At Risk
INV000284,63.666666666666664,7,At Risk
INV000285,65.5,5,At Risk
INV000286,79.5,7,At Risk
INV000287,52.375,9,At Risk
INV000288,57.125,9,At Risk
INV000289,39.90909090909091,12,At Risk
INV000290,106.33333333333333,4,At Risk
INV000291,55.625,9,At Risk
INV000292,35.8,11,At Risk
INV000293,45.45454545454545,12,At Risk
INV000294,62.333333333333336,7,At Risk
INV000295,48.5,3,At Risk
INV000296,58.57142857142857,8,At Risk
INV000297,56.625,9,At Risk
INV000298,74.0,6,At Risk
INV000299,48.8,11,At Risk
INV000300,76.5,3,At Risk
INV000301,45.666666666666664,7,At Risk
INV000302,25.0,2,Regular
INV000303,88.4,6,At Risk
INV000304,53.111111111111114,10,At Risk
INV000305,44.0,9,At Risk
INV000306,76.0,3,At Risk
INV000307,75.66666666666667,7,At Risk
INV000308,82.66666666666667,7,At Risk
INV000309,41.54545454545455,12,At Risk
INV000310,41.36363636363637,12,At Risk
INV000311,101.33333333333333,4,At Risk
INV000312,68.42857142857143,8,At Risk
INV000313,126.75,5,At Risk
INV000314,50.25,9,At Risk
INV000315,56.75,5,At Risk
INV000316,77.0,6,At Risk
INV000317,110.5,5,At Risk
INV000318,69.57142857142857,8,At Risk
INV000319,55.125,9,At Risk
INV000320,38.18181818181818,12,At Risk
INV000321,44.27272727272727,12,At Risk
INV000322,143.66666666666666,4,At Risk
INV000323,59.6,6,At Risk
INV000324,250.0,3,At Risk
INV000325,113.5,3,At Risk
INV000326,74.4,6,At Risk
INV000327,167.66666666666666,4,At Risk
INV000328,29.545454545454547,12,Regular
INV000329,88.66666666666667,4,At Risk
INV000330,55.625,9,At Risk
INV000331,47.7,11,At Risk
INV000332,64.4,6,At Risk
INV000333,90.2,6,At Risk
INV000334,26.636363636363637,12,Regular
INV000335,48.0,11,At Risk
INV000336,150.0,2,At Risk
INV000337,69.0,7,At Risk
INV000338,29.666666666666668,4,Regular
INV000339,57.111111111111114,10,At Risk
INV000340,25.6,6,Regular
INV000341,46.1,11,At Risk
INV000342,,1,Regular
INV000343,126.66666666666667,4,At Risk
INV000344,41.22222222222222,10,At Risk
INV000345,,1,Regular
INV000346,52.8,6,At Risk
INV000347,224.0,2,At Risk
INV000348,109.66666666666667,4,At Risk
INV000349,45.2,11,At Risk
INV000350,85.0,2,At Risk
INV000351,49.57142857142857,8,At Risk
INV000352,64.6,6,At Risk
INV000353,173.0,3,At Risk
INV000354,78.16666666666667,7,At Risk
INV000355,,1,Regular
INV000356,38.857142857142854,8,At Risk
INV000357,86.25,5,At Risk
INV000358,88.0,2,At Risk
INV000359,48.111111111111114,10,At Risk
INV000360,61.125,9,At Risk
INV000361,46.0,6,At Risk
INV000362,264.0,2,At Risk
INV000363,66.0,8,At Risk
INV000364,63.0,4,At Risk
INV000365,,1,Regular
INV000366,35.142857142857146,8,At Risk
INV000367,42.25,5,At Risk
INV000368,509.0,2,At Risk
INV000369,37.714285714285715,8,At Risk
INV000370,93.4,6,At Risk
INV000371,41.5,11,At Risk
INV000372,42.888888888888886,10,At Risk
INV000373,145.5,3,At Risk
INV000374,55.857142857142854,8,At Risk
INV000375,,1,Regular
INV000376,106.5,3,At Risk
INV000377,61.42857142857143,8,At Risk
INV000378,47.0,6,At Risk
INV000379,112.0,4,At Risk
INV000380,80.83333333333333,7,At Risk
INV000381,114.0,2,At Risk
INV000382,70.0,2,At Risk
INV000383,52.333333333333336,10,At Risk
INV000384,57.833333333333336,7,At Risk
INV000385,69.5,5,At Risk
INV000386,,1,Regular
INV000387,48.0,9,At Risk
INV000388,47.666666666666664,10,At Risk
INV000389,95.0,6,At Risk
INV000390,52.42857142857143,8,At Risk
INV000391,,1,Regular
INV000392,42.72727272727273,12,At Risk
INV000393,75.33333333333333,7,At Risk
INV000394,44.1,11,At Risk
INV000395,51.5,9,At Risk
INV000396,44.63636363636363,12,At Risk
INV000397,87.2,6,At Risk
INV000398,72.0,2,At Risk
INV000399,44.6,11,At Risk
INV000400,34.77777777777778,10,Regular
INV000401,21.333333333333332,4,Regular
INV000402,47.0,7,At Risk
INV000403,43.2,11,At Risk
INV000404,355.0,2,At Risk
INV000405,32.5,3,Regular
INV000406,16.0,2,Regular
INV000407,66.71428571428571,8,At Risk
INV000408,55.5,7,At Risk
INV000409,125.0,4,At Risk
INV000410,56.285714285714285,8,At Risk
INV000411,57.4,6,At Risk
INV000412,38.25,9,At Risk
INV000413,51.55555555555556,10,At Risk
INV000414,46.4,11,At Risk
INV000415,52.666666666666664,10,At Risk
INV000416,119.0,2,At Risk
INV000417,52.166666666666664,7,At Risk
INV000418,55.625,9,At Risk
INV000419,91.5,5,At Risk
INV000420,,1,Regular
INV000421,80.16666666666667,7,At Risk
INV000422,,1,Regular
INV000423,187.5,3,At Risk
INV000424,100.0,2,At Risk
INV000425,56.333333333333336,7,At Risk
INV000426,105.0,3,At Risk
INV000427,41.1,11,At Risk
INV000428,48.1,11,At Risk
INV000429,55.57142857142857,8,At Risk
INV000430,94.6,6,At Risk
INV000431,59.285714285714285,8,At Risk
INV000432,78.33333333333333,7,At Risk
INV000433,66.5,5,At Risk
INV000434,,1,Regular
INV000435,,1,Regular
INV000436,58.4,6,At Risk
INV000437,61.125,9,At Risk
INV000438,100.33333333333333,4,At Risk
INV000439,34.45454545454545,12,Regular
INV000440,44.81818181818182,12,At Risk
INV000441,60.714285714285715,8,At Risk
INV000442,145.0,4,At Risk
INV000443,124.25,5,At Risk
INV000444,36.6,11,At Risk
INV000445,46.2,11,At Risk
INV000446,40.888888888888886,10,At Risk
INV000447,,1,Regular
INV000448,100.0,5,At Risk
INV000449,69.71428571428571,8,At Risk
INV000450,31.0,2,Regular
INV000451,33.0,2,Regular
INV000452,35.90909090909091,12,At Risk
INV000453,42.0,8,At Risk
INV000454,93.0,6,At Risk
INV000455,123.0,3,At Risk
INV000456,47.4,6,At Risk
INV000457,41.54545454545455,12,At Risk
INV000458,42.0,12,At Risk
INV000459,76.75,5,At Risk
INV000460,43.09090909090909,12,At Risk
INV000461,67.5,3,At Risk
INV000462,79.0,2,At Risk
INV000463,43.44444444444444,10,At Risk
INV000464,,1,Regular
INV000465,96.0,5,At Risk
INV000466,48.888888888888886,10,At Risk
INV000467,56.666666666666664,10,At Risk
INV000468,,1,Regular
INV000469,38.45454545454545,12,At Risk
INV000470,148.33333333333334,4,At Risk
INV000471,83.75,5,At Risk
INV000472,195.5,3,At Risk
INV000473,49.57142857142857,8,At Risk
INV000474,103.5,5,At Risk
INV000475,218.0,3,At Risk
INV000476,45.333333333333336,4,At Risk
INV000477,44.666666666666664,10,At Risk
INV000478,30.5,3,Regular
INV000479,99.0,2,At Risk
INV000480,56.625,9,At Risk
INV000481,52.111111111111114,10,At Risk
INV000482,47.0,10,At Risk
INV000483,49.3,11,At Risk
INV000484,,1,Regular
INV000485,85.8,6,At Risk
INV000486,86.0,3,At Risk
INV000487,76.5,7,At Risk
INV000488,75.16666666666667,7,At Risk
INV000489,87.0,5,At Risk
INV000490,115.5,3,At Risk
INV000491,43.18181818181818,12,At Risk
INV000492,74.33333333333333,7,At Risk
INV000493,38.90909090909091,12,At Risk
INV000494,55.166666666666664,7,At Risk
INV000495,38.54545454545455,12,At Risk
INV000496,54.166666666666664,7,At Risk
INV000497,54.22222222222222,10,At Risk
INV000498,98.66666666666667,4,At Risk
INV000499,58.375,9,At Risk
INV000500,52.857142857142854,8,At Risk
INV000501,100.5,3,At Risk
INV000502,,1,Regular
INV000503,47.666666666666664,4,At Risk
INV000504,,1,Regular
INV000505,82.0,6,At Risk
INV000506,71.5,3,At Risk
INV000507,56.375,9,At Risk
INV000508,124.0,2,At Risk
INV000509,64.25,5,At Risk
INV000510,150.0,4,At Risk
INV000511,62.57142857142857,8,At Risk
INV000512,42.45454545454545,12,At Risk
INV000513,103.0,2,At Risk
INV000514,43.142857142857146,8,At Risk
INV000515,189.5,3,At Risk
INV000516,340.0,2,At Risk
INV000517,119.0,5,At Risk
INV000518,217.0,2,At Risk
INV000519,74.2,6,At Risk
INV000520,68.2,6,At Risk
INV000521,43.25,9,At Risk
INV000522,45.81818181818182,12,At Risk
INV000523,53.111111111111114,10,At Risk
INV000524,41.22222222222222,10,At Risk
INV000525,49.142857142857146,8,At Risk
INV000526,44.333333333333336,10,At Risk
INV000527,50.2,11,At Risk
INV000528,,1,Regular
INV000529,41.3,11,At Risk
INV000530,109.25,5,At Risk
INV000531,28.4,11,Regular
INV000532,48.3,11,At Risk
INV000533,65.71428571428571,8,At Risk
INV000534,243.0,2,At Risk
INV000535,97.4,6,At Risk
INV000536,93.0,4,At Risk
INV000537,71.0,5,At Risk
INV000538,36.5,5,At Risk
INV000539,57.75,9,At Risk
INV000540,48.4,11,At Risk
INV000541,56.0,2,At Risk
INV000542,123.25,5,At Risk
INV000543,71.71428571428571,8,At Risk
INV000544,62.285714285714285,8,At Risk
INV000545,50.666666666666664,10,At Risk
INV000546,40.0,12,At Risk
INV000547,43.72727272727273,12,At Risk
INV000548,67.28571428571429,8,At Risk
INV000549,53.44444444444444,10,At Risk
INV000550,111.75,5,At Risk
INV000551,131.0,4,At Risk
INV000552,55.111111111111114,10,At Risk
INV000553,60.0,7,At Risk
INV000554,39.0,10,At Risk
INV000555,216.5,3,At Risk
INV000556,41.3,11,At Risk
INV000557,88.0,6,At Risk
INV000558,61.42857142857143,8,At Risk
INV000559,107.5,5,At Risk
INV000560,87.25,5,At Risk
INV000561,,1,Regular
INV000562,62.0,7,At Risk
INV000563,41.63636363636363,12,At Risk
INV000564,90.0,4,At Risk
INV000565,153.0,3,At Risk
INV000566,39.63636363636363,12,At Risk
INV000567,40.54545454545455,12,At Risk
INV000568,39.0,9,At Risk
INV000569,42.18181818181818,12,At Risk
INV000570,47.1,11,At Risk
INV000571,,1,Regular
INV000572,112.0,5,At Risk
INV000573,27.727272727272727,12,Regular
INV000574,100.5,3,At Risk
INV000575,52.714285714285715,8,At Risk
INV000576,52.75,9,At Risk
INV000577,43.4,11,At Risk
INV000578,45.81818181818182,12,At Risk
INV000579,,1,Regular
INV000580,49.25,9,At Risk
INV000581,42.72727272727273,12,At Risk
INV000582,,1,Regular
INV000583,51.75,9,At Risk
INV000584,63.857142857142854,8,At Risk
INV000585,61.125,9,At Risk
INV000586,44.54545454545455,12,At Risk
INV000587,33.81818181818182,12,Regular
INV000588,444.0,2,At Risk
INV000589,47.3,11,At Risk
INV000590,84.66666666666667,4,At Risk
INV000591,55.285714285714285,8,At Risk
INV000592,99.75,5,At Risk
INV000593,43.8,11,At Risk
INV000594,,1,Regular
INV000595,53.44444444444444,10,At Risk
INV000596,43.27272727272727,12,At Risk
INV000597,63.285714285714285,8,At Risk
INV000598,93.6,6,At Risk
INV000599,54.333333333333336,10,At Risk
INV000600,88.8,6,At Risk
INV000601,32.666666666666664,10,Regular
INV000602,45.77777777777778,10,At Risk
INV000603,132.66666666666666,4,At Risk
INV000604,42.55555555555556,10,At Risk
INV000605,223.0,2,At Risk
INV000606,38.27272727272727,12,At Risk
INV000607,50.22222222222222,10,At Risk
INV000608,83.5,7,At Risk
INV000609,26.09090909090909,12,Regular
INV000610,,1,Regular
INV000611,69.2,6,At Risk
INV000612,44.81818181818182,12,At Risk
INV000613,82.33333333333333,4,At Risk
INV000614,26.0,7,Regular
INV000615,46.125,9,At Risk
INV000616,61.5,9,At Risk
INV000617,64.0,3,At Risk
INV000618,7.0,2,Regular
INV000619,26.0,9,Regular
INV000620,,1,Regular
INV000621,47.111111111111114,10,At Risk
INV000622,89.5,5,At Risk
INV000623,48.44444444444444,10,At Risk
INV000624,43.75,9,At Risk
INV000625,41.45454545454545,12,At Risk
INV000626,73.4,6,At Risk
INV000627,236.5,3,At Risk
INV000628,304.0,2,At Risk
INV000629,75.6,6,At Risk
INV000630,54.25,9,At Risk
INV000631,41.375,9,At Risk
INV000632,140.33333333333334,4,At Risk
INV000633,86.2,6,At Risk
INV000634,41.8,11,At Risk
INV000635,53.57142857142857,8,At Risk
INV000636,54.4,6,At Risk
INV000637,64.2,6,At Risk
INV000638,71.0,8,At Risk
INV000639,50.8,11,At Risk
INV000640,,1,Regular
INV000641,44.857142857142854,8,At Risk
INV000642,50.2,11,At Risk
INV000643,51.5,7,At Risk
INV000644,69.4,6,At Risk
INV000645,30.0,12,Regular
INV000646,37.63636363636363,12,At Risk
INV000647,105.66666666666667,4,At Risk
INV000648,65.33333333333333,4,At Risk
INV000649,52.22222222222222,10,At Risk
INV000650,108.5,5,At Risk
INV000651,70.85714285714286,8,At Risk
INV000652,43.36363636363637,12,At Risk
INV000653,164.0,2,At Risk
INV000654,91.4,6,At Risk
INV000655,132.0,2,At Risk
INV000656,62.333333333333336,7,At Risk
INV000657,50.333333333333336,10,At Risk
INV000658,47.375,9,At Risk
INV000659,125.0,5,At Risk
INV000660,42.0,6,At Risk
INV000661,60.42857142857143,8,At Risk
INV000662,46.3,11,At Risk
INV000663,94.4,6,At Risk
INV000664,46.714285714285715,8,At Risk
INV000665,29.636363636363637,12,Regular
INV000666,62.166666666666664,7,At Risk
INV000667,43.54545454545455,12,At Risk
INV000668,127.0,5,At Risk
INV000669,128.66666666666666,4,At Risk
INV000670,50.5,5,At Risk
INV000671,38.72727272727273,12,At Risk
INV000672,37.0,3,At Risk
INV000673,92.8,6,At Risk
INV000674,30.5,3,Regular
INV000675,36.63636363636363,12,At Risk
INV000676,32.09090909090909,12,Regular
INV000677,151.0,4,At Risk
INV000678,38.0,11,At Risk
INV000679,82.25,5,At Risk
INV000680,161.5,3,At Risk
INV000681,137.5,3,At Risk
INV000682,96.6,6,At Risk
INV000683,50.6,11,At Risk
INV000684,111.5,5,At Risk
INV000685,11.0,2,Regular
INV000686,203.0,2,At Risk
INV000687,88.5,5,At Risk
INV000688,44.5,3,At Risk
INV000689,46.714285714285715,8,At Risk
INV000690,45.90909090909091,12,At Risk
INV000691,52.888888888888886,10,At Risk
INV000692,,1,Regular
INV000693,44.333333333333336,10,At Risk
INV000694,82.5,7,At Risk
INV000695,63.285714285714285,8,At Risk
INV000696,104.66666666666667,4,At Risk
INV000697,,1,Regular
INV000698,38.0,12,At Risk
INV000699,36.42857142857143,8,At Risk
INV000700,60.5,3,At Risk
INV000701,50.2,11,At Risk
INV000702,143.5,3,At Risk
INV000703,84.0,7,At Risk
INV000704,50.625,9,At Risk
INV000705,114.33333333333333,4,At Risk
INV000706,54.5,9,At Risk
INV000707,45.0,10,At Risk
INV000708,66.0,8,At Risk
INV000709,39.54545454545455,12,At Risk
INV000710,73.83333333333333,7,At Risk
INV000711,60.0,8,At Risk
INV000712,,1,Regular
INV000713,87.66666666666667,4,At Risk
INV000714,26.90909090909091,12,Regular
INV000715,55.333333333333336,7,At Risk
INV000716,192.0,2,At Risk
INV000717,77.66666666666667,7,At Risk
INV000718,38.55555555555556,10,At Risk
INV000719,40.72727272727273,12,At Risk
INV000720,70.71428571428571,8,At Risk
INV000721,78.0,7,At Risk
INV000722,52.125,9,At Risk
INV000723,86.6,6,At Risk
INV000724,50.75,9,At Risk
INV000725,58.0,8,At Risk
INV000726,69.5,7,At Risk
INV000727,13.0,3,Regular
INV000728,39.125,9,At Risk
INV000729,109.75,5,At Risk
INV000730,81.75,5,At Risk
INV000731,88.0,4,At Risk
INV000732,42.333333333333336,10,At Risk
INV000733,74.5,7,At Risk
INV000734,46.3,11,At Risk
INV000735,61.42857142857143,8,At Risk
INV000736,44.333333333333336,10,At Risk
INV000737,66.14285714285714,8,At Risk
INV000738,49.57142857142857,8,At Risk
INV000739,60.714285714285715,8,At Risk
INV000740,223.0,2,At Risk
INV000741,65.71428571428571,8,At Risk
INV000742,83.0,6,At Risk
INV000743,105.33333333333333,4,At Risk
INV000744,28.22222222222222,10,Regular
INV000745,88.8,6,At Risk
INV000746,60.5,9,At Risk
INV000747,45.7,11,At Risk
INV000748,89.66666666666667,4,At Risk
INV000749,40.45454545454545,12,At Risk
INV000750,35.36363636363637,12,At Risk
INV000751,42.4,11,At Risk
INV000752,78.66666666666667,7,At Risk
INV000753,50.666666666666664,7,At Risk
INV000754,44.7,11,At Risk
INV000755,66.16666666666667,7,At Risk
INV000756,78.0,4,At Risk
INV000757,83.4,6,At Risk
INV000758,50.44444444444444,10,At Risk
INV000759,49.8,11,At Risk
INV000760,102.66666666666667,4,At Risk
INV000761,49.4,11,At Risk
INV000762,161.66666666666666,4,At Risk
INV000763,,1,Regular
INV000764,57.57142857142857,8,At Risk
INV000765,43.0,12,At Risk
INV000766,118.33333333333333,4,At Risk
INV000767,94.2,6,At Risk
INV000768,38.18181818181818,12,At Risk
INV000769,76.66666666666667,7,At Risk
INV000770,24.5,3,Regular
INV000771,94.0,5,At Risk
INV000772,36.36363636363637,12,At Risk
INV000773,,1,Regular
INV000774,55.25,9,At Risk
INV000775,99.25,5,At Risk
INV000776,42.1,11,At Risk
INV000777,47.142857142857146,8,At Risk
INV000778,48.1,11,At Risk
INV000779,40.36363636363637,12,At Risk
INV000780,,1,Regular
INV000781,96.25,5,At Risk
INV000782,35.4,6,At Risk
INV000783,44.36363636363637,12,At Risk
INV000784,62.42857142857143,8,At Risk
INV000785,38.9,11,At Risk
INV000786,57.0,10,At Risk
INV000787,,1,Regular
INV000788,52.5,7,At Risk
INV000789,44.333333333333336,10,At Risk
INV000790,,1,Regular
INV000791,56.125,9,At Risk
INV000792,271.0,2,At Risk
INV000793,48.4,11,At Risk
INV000794,,1,Regular
INV000795,116.33333333333333,4,At Risk
INV000796,97.66666666666667,4,At Risk
INV000797,117.0,5,At Risk
INV000798,,1,Regular
INV000799,80.83333333333333,7,At Risk
INV000800,108.5,5,At Risk
INV000801,110.33333333333333,4,At Risk
INV000802,44.5,5,At Risk
INV000803,57.875,9,At Risk
INV000804,92.2,6,At Risk
INV000805,,1,Regular
INV000806,34.09090909090909,12,Regular
INV000807,3.0,2,Regular
INV000808,138.66666666666666,4,At Risk
INV000809,105.0,5,At Risk
INV000810,38.0,10,At Risk
INV000811,58.2,6,At Risk
INV000812,,1,Regular
INV000813,62.142857142857146,8,At Risk
